Timestamp	Enter your user id (prefilled, do not change)	Did you just finish the first or the second half of the study?	Which video viewing tool were you using? (prefilled, do not change)	How difficult was it to understand the lecture videos in this unit?	How difficult was it to answer the questions you encountered while watching the videos?	What percentage of the quiz questions do you think you answered correctly? (the first test you took after studying)	What percentage of the exam questions do you think you answered correctly? (the second test you took after studying)	How well do you understand the material that you just studied?	Which unit was harder, this unit or the previous one?	Overall, I am satisfied with using this video viewing tool	This video viewing tool was helpful for deciding how to spend my study time	This video viewing tool helped me review the material that I did not yet understand	This tool helped me maintain focus across the study period	Answering the questions while watching videos with this tool helped me learn the material	I would like to use this video viewing tool again in the future	What priority did you place on answering the questions correctly?	What priority did you place on completely viewing the video?	What did you like about this video viewing tool?	What did you dislike about this video viewing tool / what could be improved?	Which tool would you rather use for studying, this tool or the previous one?	Which tool would you rather use for studying if you were preparing for an exam and were short on time?	Which tool would you rather use for studying if wanted to remember the material long-term?	Any other comments?
9/20/2014 5:00:58	dinianapiekutowski		invideo	1	1			5	The second unit was harder	6	5	6	5	7	7	6	7	At first the questions placed at random intervals in the video seemed strange, but I got used to it and got to enjoy how it questions you while you're watching at not at the end. You also don't see the question beforehand so you can't be waiting for the answers as in the other video tool which puts a greater emphasis on the content of the video as opposed to simply answering a question. I also like how it gives you a second chance when you got a question wrong instead of immediately giving you the answers as with the first one.  	The repetitive 12 second introduction got a bit annoying, but maybe that's because I'm really watching the clock now since I couldn't finish all the questions in the previous video tool...  A different issue that could be improved is the subtitles. Instead of having a direct transcription such as 'a, and' if she stutters, just have 'and' then I can focus on the content of the video more.	The previous one (the one I used in part 1)	This tool (the one I just used)	This tool (the one I just used)	 The content of the videos in this tool was much more interesting! 
9/20/2014 10:24:11	emilytruong		invideo	1	1			6	Both were same difficulty	7	5	4	6	7	7	6	1	I liked how each video was longer and less segmented. 	I disliked how sometimes, if I was playing the video to fast, the video would skip over the quizzes.	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
9/20/2014 12:59:01	crystalromero		quizcram	1	6			7	The first unit was harder	7	7	7	6	7	7	3	6	The video viewing tool gave you the opportunity to learn the material a second time by presenting you the question again out of order (and without the answers). I found that I had to rely on my own recall to answer the questions a second time, and learned the material better.	The questions on the side were distracting me from the video. I would have liked to have seen the questions after segments of the video, like in the first segment.	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
9/20/2014 13:50:52	yanyan		quizcram	4	4			5	The second unit was harder	5	5	4	6	3	2	3	7	It allowed for mistakes	It did not highlight the important info	The previous one (the one I used in part 1)	This tool (the one I just used)	This tool (the one I just used)	
9/20/2014 14:34:32	michelleloya		quizcram	1	3			7	Both were same difficulty	7	7	7	7	7	7	7	6	It was easy to review the questions and quiz myself multiple times, and ultimately, the repetition aided my understanding of the material.	Having the question next to the video was distracting at first, but ultimately didn't really bother me. I didn't actually read the question before watching the video.	This tool (the one I just used)	The previous one (the one I used in part 1)	This tool (the one I just used)	I initially really liked the first tool. It was quick and met its objective. However, I don't believe I'll retain the information I learned using the first tool as well as the information I learned using the second tool. The second tool easily coerced me into reviewing the video more than once and practicing the questions until I without a doubt knew their answers.
9/20/2014 16:06:45	dorondorfman		invideo	6	7			2	The second unit was harder	1	1	1	1	3	1	6	7	i did not like it at all	There weren't enough questions. The segments before each quiz were too long. It didn't show you the correct answer and asked you try again like in the firs part 9something that I found very helpful).	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
9/20/2014 16:39:01	celinajackson		invideo	3	3			3	The first unit was harder	4	5	6	6	6	6	5	3	having the questions available AFTER the video viewing forces you to pay attention to the video more because you don't know what you are going to be asked about so you aren't listening for a specific fact, but rather trying to take it all in		This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
9/21/2014 4:58:43	ngocbui		invideo	2	1			6	The second unit was harder	5	3	3	1	2	1	5	3	The questions were reflective of what the key ideas were. They were easy to understand and well written.	I didn't like the timing of the questions. It was disruptive and too few in between. The video could have been  broken up into smaller chunks to allow for more frequent questioning. I definitely lost focus and lost sight of what I needed to pay attention.	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
9/21/2014 5:51:16	jonathangriffin		quizcram	2	3			2	The second unit was harder	3	1	4	1	1	1	4	1	I like the option to review the video again	I did not like the fact that you could answer questions while the video was playing. It made me more focused on answering the questions rather than watching and learning the material.	The previous one (the one I used in part 1)	This tool (the one I just used)	The previous one (the one I used in part 1)	
9/21/2014 11:36:08	sydneyosifeso		quizcram	6	6			5	The second unit was harder	6	5	6	6	7	6	5	7	Combination of audio, visual, and quizzes throughout	More illustrations	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
9/21/2014 11:39:06	sarahsimmons		invideo	7	7			2	The second unit was harder	4	2	4	4	4	4	5	5				The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
